agency,country,iso2c,year,ratings
S&P,Czech Republic,CZ,2009,A
S&P,Czech Republic,CZ,2010,A
S&P,Czech Republic,CZ,2011,AA-
S&P,Czech Republic,CZ,2012,AA-
S&P,Germany,DE,2006,AAA
S&P,Germany,DE,2007,AAA
S&P,Germany,DE,2008,AAA
S&P,Germany,DE,2009,AAA
S&P,Germany,DE,2010,AAA
S&P,Germany,DE,2011,AAA
S&P,Germany,DE,2012,AAA
S&P,Denmark,DK,2008,AAA
S&P,Denmark,DK,2009,AAA
S&P,Denmark,DK,2010,AAA
S&P,Denmark,DK,2011,AAA
S&P,Denmark,DK,2012,AAA
S&P,Estonia,EE,2006,A
S&P,Estonia,EE,2007,A
S&P,Estonia,EE,2008,A
S&P,Estonia,EE,2009,A
S&P,Estonia,EE,2010,A
S&P,Estonia,EE,2011,AA-
S&P,Estonia,EE,2012,AA-
S&P,"Egypt, Arab Rep.",EG,2006,BB+
S&P,"Egypt, Arab Rep.",EG,2007,BB+
S&P,"Egypt, Arab Rep.",EG,2008,BB+
S&P,"Egypt, Arab Rep.",EG,2009,BB+
S&P,"Egypt, Arab Rep.",EG,2010,BB+
S&P,Finland,FI,2007,AAA
S&P,Finland,FI,2008,AAA
S&P,Finland,FI,2009,AAA
S&P,Finland,FI,2010,AAA
S&P,Finland,FI,2011,AAA
S&P,Finland,FI,2012,AAA
S&P,France,FR,2006,AAA
S&P,France,FR,2007,AAA
S&P,France,FR,2008,AAA
S&P,France,FR,2009,AAA
S&P,France,FR,2010,AAA
S&P,France,FR,2011,AAA
S&P,France,FR,2012,AA+
S&P,United Kingdom,GB,2008,AAA
S&P,United Kingdom,GB,2009,AAA
S&P,United Kingdom,GB,2010,AAA
S&P,United Kingdom,GB,2011,AAA
S&P,United Kingdom,GB,2012,AAA
S&P,Greece,GR,2006,A
S&P,Greece,GR,2007,A
S&P,Greece,GR,2008,A
S&P,Greece,GR,2009,A-
S&P,Greece,GR,2010,BB+
S&P,Greece,GR,2011,CC
S&P,"Hong Kong SAR, China",HK,2006,AA
S&P,"Hong Kong SAR, China",HK,2009,AA+
S&P,"Hong Kong SAR, China",HK,2010,AAA
S&P,"Hong Kong SAR, China",HK,2011,AAA
S&P,Croatia,HR,2006,BBB
S&P,Croatia,HR,2007,BBB
S&P,Croatia,HR,2008,BBB
S&P,Croatia,HR,2009,BBB
S&P,Croatia,HR,2010,BBB-
S&P,Croatia,HR,2011,BBB-
S&P,Croatia,HR,2012,BB+
S&P,Hungary,HU,2006,BBB+
S&P,Hungary,HU,2007,BBB+
S&P,Hungary,HU,2008,BBB
S&P,Hungary,HU,2009,BBB-
S&P,Hungary,HU,2010,BBB-
S&P,Hungary,HU,2011,BB+
S&P,Hungary,HU,2012,BB
S&P,Indonesia,ID,2006,BB-
S&P,Indonesia,ID,2007,BB-
S&P,Indonesia,ID,2008,BB-
S&P,Indonesia,ID,2009,BB-
S&P,Indonesia,ID,2010,BB
S&P,Indonesia,ID,2011,BB+
S&P,Indonesia,ID,2012,BB+
S&P,Ireland,IE,2007,AAA
S&P,Ireland,IE,2009,AA
S&P,Ireland,IE,2010,AA-
S&P,Ireland,IE,2011,BBB+
S&P,Ireland,IE,2012,BBB+
S&P,Israel,IL,2006,A-
S&P,Israel,IL,2007,A
S&P,Israel,IL,2008,A
S&P,Israel,IL,2009,A
S&P,Israel,IL,2010,A
S&P,Israel,IL,2011,A+
S&P,Israel,IL,2012,A+
S&P,Iraq,IQ,2007,NA
S&P,Iraq,IQ,2009,NA
S&P,Italy,IT,2006,A+
S&P,Italy,IT,2007,A+
S&P,Italy,IT,2008,A+
S&P,Italy,IT,2009,A+
S&P,Italy,IT,2010,A+
S&P,Italy,IT,2011,A
S&P,Italy,IT,2012,BBB+
S&P,Japan,JP,2006,AA-
S&P,Japan,JP,2007,AA
S&P,Japan,JP,2008,AA
S&P,Japan,JP,2009,AA
S&P,Japan,JP,2010,AA
S&P,Japan,JP,2011,AA-
S&P,Japan,JP,2012,AA-
S&P,"Korea, Rep.",KR,2006,A
S&P,"Korea, Rep.",KR,2007,A
S&P,"Korea, Rep.",KR,2008,A
S&P,"Korea, Rep.",KR,2009,A
S&P,"Korea, Rep.",KR,2010,A
S&P,"Korea, Rep.",KR,2011,A
S&P,"Korea, Rep.",KR,2012,A+
S&P,Kazakhstan,KZ,2006,BBB
S&P,Kazakhstan,KZ,2007,BBB-
S&P,Kazakhstan,KZ,2008,BBB-
S&P,Kazakhstan,KZ,2009,BBB-
S&P,Kazakhstan,KZ,2010,BBB
S&P,Kazakhstan,KZ,2011,BBB+
S&P,Kazakhstan,KZ,2012,BBB+
S&P,Lebanon,LB,2006,B-
S&P,Lebanon,LB,2007,B-
S&P,Lebanon,LB,2008,CCC+
S&P,Lebanon,LB,2009,B
S&P,Lebanon,LB,2010,B
S&P,Lebanon,LB,2011,B
S&P,Lebanon,LB,2012,B
S&P,Lithuania,LT,2006,A
S&P,Lithuania,LT,2007,A
S&P,Lithuania,LT,2008,A-
S&P,Lithuania,LT,2009,BBB
S&P,Lithuania,LT,2010,BBB
S&P,Lithuania,LT,2011,BBB
S&P,Lithuania,LT,2012,BBB
S&P,Latvia,LV,2006,A-
S&P,Latvia,LV,2007,BBB+
S&P,Latvia,LV,2008,BBB
S&P,Latvia,LV,2009,BB+
S&P,Latvia,LV,2010,BB+
S&P,Latvia,LV,2011,BB+
S&P,Latvia,LV,2012,BBB-
S&P,Mexico,MX,2006,BBB
S&P,Mexico,MX,2007,BBB+
S&P,Mexico,MX,2008,BBB+
S&P,Mexico,MX,2009,BBB
S&P,Mexico,MX,2010,BBB
S&P,Mexico,MX,2011,BBB
S&P,Mexico,MX,2012,BBB
S&P,Malaysia,MY,2006,A-
S&P,Malaysia,MY,2007,A-
S&P,Malaysia,MY,2008,A-
S&P,Malaysia,MY,2009,A-
S&P,Malaysia,MY,2010,A-
S&P,Malaysia,MY,2011,A-
S&P,Malaysia,MY,2012,A-
S&P,Netherlands,NL,2008,AAA
S&P,Netherlands,NL,2009,AAA
S&P,Netherlands,NL,2010,AAA
S&P,Netherlands,NL,2011,AAA
S&P,Netherlands,NL,2012,AAA
S&P,Norway,NO,2009,AAA
S&P,Norway,NO,2010,AAA
S&P,Norway,NO,2011,AAA
S&P,Norway,NO,2012,AAA
S&P,New Zealand,NZ,2009,AA+
S&P,New Zealand,NZ,2010,AA+
S&P,New Zealand,NZ,2011,AA
S&P,New Zealand,NZ,2012,AA
S&P,Panama,PA,2006,BB
S&P,Panama,PA,2007,BB
S&P,Panama,PA,2008,BB+
S&P,Panama,PA,2009,BB+
S&P,Panama,PA,2010,BBB-
S&P,Panama,PA,2011,BBB-
S&P,Panama,PA,2012,BBB
S&P,Peru,PE,2006,BB+
S&P,Peru,PE,2007,BB+
S&P,Peru,PE,2008,BBB-
S&P,Peru,PE,2009,BBB-
S&P,Peru,PE,2010,BBB-
S&P,Peru,PE,2011,BBB
S&P,Peru,PE,2012,BBB
