"year","iso2c","agency","ratings","ratings_prior","GDPpercap","GDPgrowth","inflation_cpi","inflation_def","development","export","currentaccount","budget","ext_debt","currency_debt","country","current_account_WEO","fiscal_balance_WEO","def_indicator","spreadCDS","GNIpercap"
1990,"BT","S&P",NA,NA,299787275.842376,10.8764346909591,10,5.70884938878369,NA,80434037.692747,NA,-5.83128124050345,NA,83544000,"Bhutan",-9.916,-7.918,0,NA,580
1990,"BW","Moody's",NA,NA,3790636664.02546,6.7728220091704,11.3963461199557,6.30001822454854,NA,2086950445.65452,NA,19.0847022623664,NA,552922000,"Botswana",-0.46,NA,0,NA,2530
1990,"BW","S&P",NA,NA,3790636664.02546,6.7728220091704,11.3963461199557,6.30001822454854,NA,2086950445.65452,NA,19.0847022623664,NA,552922000,"Botswana",-0.46,NA,0,NA,2530
1990,"BY","Moody's",NA,NA,17369598958.1159,NA,NA,NA,NA,7982794902.22879,NA,NA,NA,NA,"Belarus",NA,NA,0,NA,NA
1990,"BY","S&P",NA,NA,17369598958.1159,NA,NA,NA,NA,7982794902.22879,NA,NA,NA,NA,"Belarus",NA,NA,0,NA,NA
1990,"BZ","Moody's",NA,NA,413049984,10.6285755495795,3.05907172995788,2.81328168844155,NA,2.57e+08,NA,-0.614574530524616,NA,142753000,"Belize",3.726,NA,1,NA,2230
1990,"BZ","S&P",NA,NA,413049984,10.6285755495795,3.05907172995788,2.81328168844155,NA,2.57e+08,NA,-0.614574530524616,NA,142753000,"Belize",3.726,NA,1,NA,2230
1990,"CA","Moody's",NA,NA,592014912581.419,0.128976310899205,4.7646886875189,3.37517954803006,NA,148910695920.466,NA,NA,NA,NA,"Canada",-3.335,-5.649,0,NA,20430
1990,"CA","S&P",NA,NA,592014912581.419,0.128976310899205,4.7646886875189,3.37517954803006,NA,148910695920.466,NA,NA,NA,NA,"Canada",-3.335,-5.649,0,NA,20430
1990,"CD","Moody's",NA,NA,9349764580.35198,-6.56831069417488,81.295404814004,108.955307110417,NA,2758536191.31624,NA,-6.52189194247673,NA,10258588000,"Congo, Dem. Rep.",-1.726,NA,1,NA,240
1990,"CD","S&P",NA,NA,9349764580.35198,-6.56831069417488,81.295404814004,108.955307110417,NA,2758536191.31624,NA,-6.52189194247673,NA,10258588000,"Congo, Dem. Rep.",-1.726,NA,1,NA,240
1990,"CF","Moody's",NA,NA,1440711459.411,-2.14764243654983,-0.0123304562272182,1.83676413333072,NA,245892979.782661,NA,NA,NA,698507000,"Central African Republic",-6.17,-4.897,0,NA,460
1990,"CF","S&P",NA,NA,1440711459.411,-2.14764243654983,-0.0123304562272182,1.83676413333072,NA,245892979.782661,NA,NA,NA,698507000,"Central African Republic",-6.17,-4.897,0,NA,460
1990,"CG","Moody's",NA,NA,2798746050.58236,1.00000356694369,2.8890537421693,-1.02906827156495,NA,1448956227.36967,NA,NA,NA,4902778000,"Congo, Rep.",22.297,-4.388,1,NA,920
1990,"CG","S&P",NA,NA,2798746050.58236,1.00000356694369,2.8890537421693,-1.02906827156495,NA,1448956227.36967,NA,NA,NA,4902778000,"Congo, Rep.",22.297,-4.388,1,NA,920
1990,"CH","Moody's",NA,NA,257420293190.325,3.67462564633168,5.37873965626987,4.60362125692986,NA,106340054131.874,NA,NA,NA,NA,"Switzerland",3.402,-0.134,0,NA,36900
1990,"CH","S&P",NA,NA,257420293190.325,3.67462564633168,5.37873965626987,4.60362125692986,NA,106340054131.874,NA,NA,NA,NA,"Switzerland",3.402,-0.134,0,NA,36900
1990,"CI","Moody's",NA,NA,10795850584.5874,-1.09590841110511,-0.805879698278034,-4.52327354406451,NA,3421191519.83778,NA,NA,NA,17251134000,"Cote d'Ivoire",-10.932,NA,1,NA,760
1990,"CI","S&P",NA,NA,10795850584.5874,-1.09590841110511,-0.805879698278034,-4.52327354406451,NA,3421191519.83778,NA,NA,NA,17251134000,"Cote d'Ivoire",-10.932,NA,1,NA,760
1990,"CL","Moody's",NA,NA,31558927517.2188,3.69757990057602,NA,22.459259271214,NA,10725628074.7786,NA,NA,NA,NA,"Chile",-1.474,2.327,1,NA,2240
1990,"CL","S&P",NA,NA,31558927517.2188,3.69757990057602,NA,22.459259271214,NA,10725628074.7786,NA,NA,NA,NA,"Chile",-1.474,2.327,1,NA,2240
1990,"CM","Moody's",NA,NA,11151578702.7205,-6.10569764608255,1.09938128383607,1.64309843099718,NA,2250713583.7959,NA,-5.58577904701397,NA,6562510000,"Cameroon",-3.909,NA,1,NA,920
